asset_name,event_type,event_date,downtime_hours
Drill Rig-2,failure,2018-01-21,8.0
Drill Rig-2,repair_complete,2018-01-25,0.0
Drill Rig-2,failure,2018-02-17,8.0
Drill Rig-2,repair_complete,2018-02-23,0.0
LHD-2,failure,2018-03-03,8.0
LHD-1,failure,2018-03-08,8.0
LHD-2,repair_complete,2018-03-10,0.0
LHD-1,repair_complete,2018-03-10,0.0
Winder-1,failure,2018-03-13,8.0
Winder-1,repair_complete,2018-03-21,0.0
Haul Truck-3,failure,2018-03-23,8.0
Haul Truck-3,repair_complete,2018-03-24,0.0
LHD-1,failure,2018-06-22,8.0
LHD-1,repair_complete,2018-06-26,0.0
Haul Truck-3,failure,2018-10-30,8.0
Haul Truck-3,repair_complete,2018-11-05,0.0
Winder-1,failure,2018-11-25,8.0
Winder-1,repair_complete,2018-11-26,0.0
Haul Truck-3,failure,2019-01-07,8.0
Haul Truck-3,repair_complete,2019-01-09,0.0
Winder-1,failure,2019-02-25,8.0
LHD-2,failure,2019-03-02,8.0
Winder-1,repair_complete,2019-03-05,0.0
LHD-2,repair_complete,2019-03-05,0.0
LHD-1,failure,2019-05-16,8.0
LHD-1,repair_complete,2019-05-18,0.0
Winder-1,failure,2019-07-08,8.0
Winder-1,repair_complete,2019-07-09,0.0
LHD-2,failure,2019-08-11,8.0
LHD-2,repair_complete,2019-08-12,0.0
Haul Truck-3,failure,2019-09-27,8.0
Haul Truck-3,repair_complete,2019-09-30,0.0
Haul Truck-3,failure,2019-10-04,8.0
Haul Truck-3,repair_complete,2019-10-06,0.0
LHD-1,failure,2019-11-11,8.0
Haul Truck-3,failure,2019-11-16,8.0
LHD-1,repair_complete,2019-11-17,0.0
Haul Truck-3,repair_complete,2019-11-20,0.0
Winder-1,failure,2019-12-27,8.0
Winder-1,repair_complete,2019-12-29,0.0
Winder-1,failure,2020-01-20,8.0
Winder-1,repair_complete,2020-01-23,0.0
Winder-1,failure,2020-04-30,8.0
Winder-1,repair_complete,2020-05-03,0.0
LHD-1,failure,2020-05-21,8.0
LHD-1,repair_complete,2020-05-23,0.0
Haul Truck-3,failure,2020-07-05,8.0
Haul Truck-3,repair_complete,2020-07-08,0.0
Drill Rig-2,failure,2020-07-25,8.0
Drill Rig-2,repair_complete,2020-07-27,0.0
Winder-1,failure,2020-08-09,8.0
Winder-1,repair_complete,2020-08-11,0.0
Winder-1,failure,2020-09-05,8.0
Winder-1,repair_complete,2020-09-07,0.0
Drill Rig-2,failure,2020-09-19,8.0
Drill Rig-2,repair_complete,2020-09-24,0.0
Drill Rig-2,failure,2021-01-08,8.0
Drill Rig-2,repair_complete,2021-01-13,0.0
Drill Rig-2,failure,2021-01-25,8.0
Drill Rig-2,repair_complete,2021-01-27,0.0
Winder-1,failure,2021-04-08,8.0
LHD-2,failure,2021-04-09,8.0
Winder-1,repair_complete,2021-04-10,0.0
LHD-2,repair_complete,2021-04-15,0.0
LHD-2,failure,2021-04-30,8.0
LHD-2,repair_complete,2021-05-02,0.0
Winder-1,failure,2021-05-19,8.0
Winder-1,repair_complete,2021-05-21,0.0
Haul Truck-3,failure,2021-07-13,8.0
Haul Truck-3,repair_complete,2021-07-22,0.0
LHD-2,failure,2021-08-22,8.0
LHD-2,repair_complete,2021-08-25,0.0
LHD-2,failure,2021-09-17,8.0
LHD-2,repair_complete,2021-09-18,0.0
LHD-2,failure,2021-11-15,8.0
LHD-2,repair_complete,2021-11-19,0.0
Haul Truck-3,failure,2022-01-11,8.0
Haul Truck-3,repair_complete,2022-01-14,0.0
Winder-1,failure,2022-01-17,8.0
Winder-1,repair_complete,2022-01-28,0.0
Drill Rig-2,failure,2022-03-07,8.0
Drill Rig-2,repair_complete,2022-03-09,0.0
Haul Truck-3,failure,2022-06-06,8.0
Haul Truck-3,repair_complete,2022-06-08,0.0
Haul Truck-3,failure,2022-06-17,8.0
Haul Truck-3,repair_complete,2022-06-20,0.0
LHD-2,failure,2022-06-22,8.0
LHD-2,repair_complete,2022-06-25,0.0
Haul Truck-3,failure,2022-10-06,8.0
Haul Truck-3,repair_complete,2022-10-07,0.0
Drill Rig-2,failure,2022-11-03,8.0
Drill Rig-2,repair_complete,2022-11-09,0.0
Winder-1,failure,2022-11-29,8.0
Winder-1,repair_complete,2022-12-01,0.0
Drill Rig-2,failure,2022-12-10,8.0
Drill Rig-2,repair_complete,2022-12-12,0.0
LHD-2,failure,2022-12-31,8.0
LHD-2,repair_complete,2023-01-02,0.0
LHD-1,failure,2023-03-21,8.0
LHD-1,repair_complete,2023-03-26,0.0
Drill Rig-2,failure,2023-07-30,8.0
Drill Rig-2,repair_complete,2023-08-01,0.0
Winder-1,failure,2023-08-19,8.0
