date,tonnes,rainfall_mm,equipment_downtime_hours,is_holiday
2018-01-01,726.7,0.0,0.0,0
2018-01-02,682.7,0.0,0.0,0
2018-01-03,698.8,0.0,0.0,0
2018-01-04,725.3,0.0,0.0,0
2018-01-05,703.4,0.0,0.0,0
2018-01-06,719.2,0.0,0.0,0
2018-01-07,441.0,0.0,0.0,1
2018-01-08,779.4,0.0,0.0,0
2018-01-09,831.5,0.0,0.0,0
2018-01-10,744.1,0.0,0.0,0
2018-01-11,775.4,0.0,0.0,0
2018-01-12,737.1,0.0,0.0,0
2018-01-13,735.0,0.0,0.0,0
2018-01-14,428.6,0.0,0.0,1
2018-01-15,791.3,0.0,0.0,0
2018-01-16,776.5,0.0,0.0,0
2018-01-17,757.2,0.0,0.0,0
2018-01-18,701.3,0.0,0.0,0
2018-01-19,814.2,0.0,0.0,0
2018-01-20,861.9,0.0,0.0,0
2018-01-21,314.8,0.0,8.0,1
2018-01-22,535.8,0.0,8.0,0
2018-01-23,490.3,0.0,8.0,0
2018-01-24,505.9,0.0,8.0,0
2018-01-25,718.4,0.0,0.0,0
2018-01-26,791.2,0.0,0.0,0
2018-01-27,781.3,0.0,0.0,0
2018-01-28,416.0,0.0,0.0,1
2018-01-29,810.2,0.0,0.0,0
2018-01-30,798.1,0.0,0.0,0
2018-01-31,788.5,0.0,0.0,0
2018-02-01,816.9,0.0,0.0,0
2018-02-02,873.5,0.0,0.0,0
2018-02-03,749.6,0.0,0.0,0
2018-02-04,397.9,0.0,0.0,1
2018-02-05,783.5,0.0,0.0,0
2018-02-06,827.3,0.0,0.0,0
2018-02-07,791.5,0.0,0.0,0
2018-02-08,796.8,0.0,0.0,0
2018-02-09,747.9,0.0,0.0,0
2018-02-10,751.6,0.0,0.0,0
2018-02-11,403.7,0.9,0.0,1
2018-02-12,825.9,5.9,0.0,0
2018-02-13,668.9,14.7,0.0,0
2018-02-14,676.6,0.0,0.0,0
2018-02-15,641.6,0.0,0.0,0
2018-02-16,635.4,0.0,0.0,0
2018-02-17,491.4,0.0,8.0,0
2018-02-18,274.7,0.0,8.0,1
2018-02-19,495.9,0.0,8.0,0
2018-02-20,557.6,0.0,8.0,0
2018-02-21,480.8,0.0,8.0,0
2018-02-22,500.4,0.0,8.0,0
2018-02-23,751.6,0.0,0.0,0
2018-02-24,825.4,0.0,0.0,0
2018-02-25,388.5,0.0,0.0,1
2018-02-26,771.4,0.0,0.0,0
2018-02-27,780.0,0.0,0.0,0
2018-02-28,861.8,0.0,0.0,0
2018-03-01,851.3,0.0,0.0,0
2018-03-02,738.6,0.0,0.0,0
2018-03-03,502.4,0.0,8.0,0
2018-03-04,269.5,0.0,8.0,1
2018-03-05,568.4,0.0,8.0,0
2018-03-06,556.4,0.0,8.0,0
2018-03-07,496.4,0.0,8.0,0
2018-03-08,369.9,0.1,16.0,0
2018-03-09,390.6,0.0,16.0,0
2018-03-10,801.0,0.5,0.0,0
2018-03-11,384.2,0.2,0.0,1
2018-03-12,792.1,0.4,0.0,0
2018-03-13,556.4,0.0,8.0,0
2018-03-14,534.0,0.0,8.0,0
2018-03-15,519.2,0.0,8.0,0
2018-03-16,473.6,1.0,8.0,0
2018-03-17,479.3,0.2,8.0,0
2018-03-18,262.6,0.0,8.0,1
2018-03-19,472.0,0.0,8.0,0
2018-03-20,526.2,0.0,8.0,0
2018-03-21,792.5,0.4,0.0,0
2018-03-22,736.6,0.0,0.0,0
2018-03-23,455.5,0.0,8.0,0
2018-03-24,778.7,0.0,0.0,0
2018-03-25,449.8,0.0,0.0,1
2018-03-26,759.3,0.0,0.0,0
2018-03-27,765.0,0.0,0.0,0
2018-03-28,787.3,0.0,0.0,0
2018-03-29,739.3,0.0,0.0,0
2018-03-30,772.9,0.0,0.0,0
2018-03-31,778.9,0.0,0.0,0
2018-04-01,434.0,2.9,0.0,1
2018-04-02,781.5,0.0,0.0,0
2018-04-03,714.1,0.0,0.0,0
2018-04-04,713.7,0.0,0.0,0
2018-04-05,680.8,0.8,0.0,0
2018-04-06,795.0,1.6,0.0,0
2018-04-07,742.4,0.5,0.0,0
2018-04-08,372.6,0.0,0.0,1
2018-04-09,694.2,0.7,0.0,0
2018-04-10,696.7,1.8,0.0,0
2018-04-11,740.7,0.3,0.0,0
2018-04-12,718.1,0.4,0.0,0
2018-04-13,705.4,0.9,0.0,0
2018-04-14,773.8,3.3,0.0,0
2018-04-15,415.2,2.4,0.0,1
2018-04-16,753.5,0.1,0.0,0
2018-04-17,724.0,0.1,0.0,0
2018-04-18,747.6,0.0,0.0,0
2018-04-19,677.8,0.0,0.0,0
2018-04-20,701.0,0.0,0.0,0
2018-04-21,762.0,0.0,0.0,0
2018-04-22,428.2,0.0,0.0,1
2018-04-23,818.4,0.0,0.0,0
2018-04-24,630.5,0.0,0.0,0
2018-04-25,736.2,0.0,0.0,0
2018-04-26,734.8,0.0,0.0,0
2018-04-27,687.6,0.0,0.0,0
2018-04-28,687.5,0.0,0.0,0
2018-04-29,384.3,1.0,0.0,1
2018-04-30,716.3,0.0,0.0,0
2018-05-01,728.9,1.5,0.0,0
2018-05-02,745.0,1.7,0.0,0
2018-05-03,665.3,2.7,0.0,0
2018-05-04,642.7,0.0,0.0,0
2018-05-05,708.8,0.0,0.0,0
2018-05-06,379.2,0.0,0.0,1
2018-05-07,693.2,0.0,0.0,0
2018-05-08,680.0,0.0,0.0,0
2018-05-09,721.5,0.0,0.0,0
2018-05-10,712.1,0.0,0.0,0
2018-05-11,794.8,0.0,0.0,0
2018-05-12,787.6,0.9,0.0,0
2018-05-13,352.8,0.1,0.0,1
2018-05-14,724.6,1.3,0.0,0
2018-05-15,780.0,0.0,0.0,0
2018-05-16,726.5,1.4,0.0,0
2018-05-17,734.6,0.0,0.0,0
2018-05-18,801.2,0.3,0.0,0
2018-05-19,669.6,0.0,0.0,0
2018-05-20,400.0,0.0,0.0,1
2018-05-21,769.4,0.0,0.0,0
2018-05-22,721.3,0.8,0.0,0
2018-05-23,747.3,0.1,0.0,0
2018-05-24,734.4,0.3,0.0,0
2018-05-25,742.1,0.1,0.0,0
2018-05-26,723.4,0.0,0.0,0
2018-05-27,389.0,0.0,0.0,1
2018-05-28,708.8,0.0,0.0,0
2018-05-29,694.7,0.0,0.0,0
2018-05-30,744.6,1.4,0.0,0
2018-05-31,608.1,0.0,0.0,0
2018-06-01,668.6,0.0,0.0,0
2018-06-02,759.4,0.6,0.0,0
2018-06-03,390.2,0.0,0.0,1
2018-06-04,781.5,0.1,0.0,0
2018-06-05,693.3,0.2,0.0,0
2018-06-06,781.5,1.8,0.0,0
2018-06-07,718.8,0.1,0.0,0
2018-06-08,782.6,9.3,0.0,0
2018-06-09,740.0,30.1,0.0,0
2018-06-10,335.9,12.9,0.0,1
2018-06-11,541.5,28.1,0.0,0
2018-06-12,631.7,9.0,0.0,0
2018-06-13,599.8,0.5,0.0,0
